Tm,W,L,W-L%,GB,RS,RA,pythW-L%,dt
MIL,53,38,0.582,4.5,393,345,0.559,2021-07-10
SDP,53,39,0.576,5.0,427,350,0.59,2021-07-10
NYM,48,39,0.552,7.5,328,317,0.516,2021-07-10
CIN,47,42,0.528,9.5,432,426,0.506,2021-07-10
ATL,44,44,0.5,12.0,416,394,0.525,2021-07-10
PHI,43,44,0.494,12.5,397,407,0.489,2021-07-10
CHC,44,46,0.489,13.0,378,402,0.472,2021-07-10
STL,44,46,0.489,13.0,358,398,0.452,2021-07-10
WSN,42,46,0.477,14.0,371,384,0.484,2021-07-10
COL,39,51,0.433,18.0,387,437,0.445,2021-07-10
MIA,38,51,0.427,18.5,351,338,0.517,2021-07-10
PIT,33,56,0.371,23.5,313,436,0.353,2021-07-10
ARI,26,65,0.286,31.5,377,524,0.354,2021-07-10
BOS,55,35,0.611,--,460,402,0.561,2021-07-10
CHW,53,35,0.602,1.0,449,334,0.632,2021-07-10
HOU,54,36,0.6,1.0,488,353,0.644,2021-07-10
TBR,53,36,0.596,1.5,439,352,0.6,2021-07-10
OAK,51,40,0.56,4.5,404,375,0.534,2021-07-10
SEA,48,42,0.533,7.0,370,414,0.449,2021-07-10
NYY,46,42,0.523,8.0,363,361,0.503,2021-07-10
CLE,45,42,0.517,8.5,379,395,0.481,2021-07-10
TOR,44,42,0.512,9.0,441,371,0.578,2021-07-10
LAA,44,44,0.5,10.0,428,460,0.467,2021-07-10
DET,40,50,0.444,15.0,369,445,0.415,2021-07-10
MIN,38,50,0.432,16.0,409,469,0.438,2021-07-10
KCR,36,53,0.404,18.5,364,463,0.392,2021-07-10
TEX,35,54,0.393,19.5,368,424,0.436,2021-07-10
BAL,28,60,0.318,26.0,359,495,0.357,2021-07-10
SFG,57,32,0.64,--,441,325,0.636,2021-07-11
LAD,56,35,0.615,2.0,476,334,0.657,2021-07-11
MIL,53,39,0.576,5.5,394,348,0.557,2021-07-11
SDP,53,40,0.57,6.0,428,353,0.587,2021-07-11
NYM,48,40,0.545,8.5,333,323,0.514,2021-07-11
CIN,48,42,0.533,9.5,435,427,0.508,2021-07-11
PHI,44,44,0.5,12.5,402,411,0.49,2021-07-11
ATL,44,45,0.494,13.0,420,401,0.521,2021-07-11
CHC,44,46,0.489,13.5,378,402,0.472,2021-07-11
STL,44,46,0.489,13.5,358,398,0.452,2021-07-11
WSN,42,47,0.472,15.0,372,387,0.482,2021-07-11
COL,40,51,0.44,18.0,390,438,0.447,2021-07-11
MIA,39,51,0.433,18.5,358,342,0.521,2021-07-11
PIT,34,56,0.378,23.5,319,441,0.356,2021-07-11
ARI,26,66,0.283,32.5,381,531,0.353,2021-07-11
CHW,54,35,0.607,--,456,339,0.632,2021-07-11
HOU,55,36,0.604,--,496,360,0.643,2021-07-11
BOS,55,36,0.604,--,464,407,0.56,2021-07-11
TBR,53,37,0.589,1.5,440,355,0.597,2021-07-11
OAK,52,40,0.565,3.5,408,376,0.537,2021-07-11
SEA,48,43,0.527,7.0,371,421,0.442,2021-07-11
NYY,46,43,0.517,8.0,370,369,0.501,2021-07-11
CLE,45,42,0.517,8.0,379,395,0.481,2021-07-11
TOR,45,42,0.517,8.0,444,372,0.58,2021-07-11
LAA,45,44,0.506,9.0,435,461,0.473,2021-07-11
MIN,39,50,0.438,15.0,421,478,0.442,2021-07-11
DET,40,51,0.44,15.0,378,457,0.414,2021-07-11
KCR,36,53,0.404,18.0,364,463,0.392,2021-07-11
TEX,35,55,0.389,19.5,369,428,0.433,2021-07-11
BAL,28,61,0.315,26.0,364,502,0.357,2021-07-11
SFG,57,32,0.64,--,441,325,0.636,2021-07-12
LAD,56,35,0.615,2.0,476,334,0.657,2021-07-12
MIL,53,39,0.576,5.5,394,348,0.557,2021-07-12
SDP,53,40,0.57,6.0,428,353,0.587,2021-07-12
NYM,48,40,0.545,8.5,333,323,0.514,2021-07-12
CIN,48,42,0.533,9.5,435,427,0.508,2021-07-12
PHI,44,44,0.5,12.5,402,411,0.49,2021-07-12
ATL,44,45,0.494,13.0,420,401,0.521,2021-07-12
CHC,44,46,0.489,13.5,378,402,0.472,2021-07-12
STL,44,46,0.489,13.5,358,398,0.452,2021-07-12
WSN,42,47,0.472,15.0,372,387,0.482,2021-07-12
COL,40,51,0.44,18.0,390,438,0.447,2021-07-12
MIA,39,51,0.433,18.5,358,342,0.521,2021-07-12
PIT,34,56,0.378,23.5,319,441,0.356,2021-07-12
ARI,26,66,0.283,32.5,381,531,0.353,2021-07-12
CHW,54,35,0.607,--,456,339,0.632,2021-07-12
HOU,55,36,0.604,--,496,360,0.643,2021-07-12
BOS,55,36,0.604,--,464,407,0.56,2021-07-12
TBR,53,37,0.589,1.5,440,355,0.597,2021-07-12
OAK,52,40,0.565,3.5,408,376,0.537,2021-07-12
SEA,48,43,0.527,7.0,371,421,0.442,2021-07-12
NYY,46,43,0.517,8.0,370,369,0.501,2021-07-12
CLE,45,42,0.517,8.0,379,395,0.481,2021-07-12
TOR,45,42,0.517,8.0,444,372,0.58,2021-07-12
LAA,45,44,0.506,9.0,435,461,0.473,2021-07-12
MIN,39,50,0.438,15.0,421,478,0.442,2021-07-12
DET,40,51,0.44,15.0,378,457,0.414,2021-07-12
KCR,36,53,0.404,18.0,364,463,0.392,2021-07-12
TEX,35,55,0.389,19.5,369,428,0.433,2021-07-12
BAL,28,61,0.315,26.0,364,502,0.357,2021-07-12
SFG,57,32,0.64,--,441,325,0.636,2021-07-13
LAD,56,35,0.615,2.0,476,334,0.657,2021-07-13
MIL,53,39,0.576,5.5,394,348,0.557,2021-07-13
SDP,53,40,0.57,6.0,428,353,0.587,2021-07-13
NYM,48,40,0.545,8.5,333,323,0.514,2021-07-13
CIN,48,42,0.533,9.5,435,427,0.508,2021-07-13
PHI,44,44,0.5,12.5,402,411,0.49,2021-07-13
ATL,44,45,0.494,13.0,420,401,0.521,2021-07-13
CHC,44,46,0.489,13.5,378,402,0.472,2021-07-13
STL,44,46,0.489,13.5,358,398,0.452,2021-07-13
WSN,42,47,0.472,15.0,372,387,0.482,2021-07-13
COL,40,51,0.44,18.0,390,438,0.447,2021-07-13
MIA,39,51,0.433,18.5,358,342,0.521,2021-07-13
PIT,34,56,0.378,23.5,319,441,0.356,2021-07-13
ARI,26,66,0.283,32.5,381,531,0.353,2021-07-13
CHW,54,35,0.607,--,456,339,0.632,2021-07-13
HOU,55,36,0.604,--,496,360,0.643,2021-07-13
BOS,55,36,0.604,--,464,407,0.56,2021-07-13
TBR,53,37,0.589,1.5,440,355,0.597,2021-07-13
OAK,52,40,0.565,3.5,408,376,0.537,2021-07-13
SEA,48,43,0.527,7.0,371,421,0.442,2021-07-13
NYY,46,43,0.517,8.0,370,369,0.501,2021-07-13
CLE,45,42,0.517,8.0,379,395,0.481,2021-07-13
TOR,45,42,0.517,8.0,444,372,0.58,2021-07-13
LAA,45,44,0.506,9.0,435,461,0.473,2021-07-13
MIN,39,50,0.438,15.0,421,478,0.442,2021-07-13
DET,40,51,0.44,15.0,378,457,0.414,2021-07-13
KCR,36,53,0.404,18.0,364,463,0.392,2021-07-13
TEX,35,55,0.389,19.5,369,428,0.433,2021-07-13
BAL,28,61,0.315,26.0,364,502,0.357,2021-07-13
SFG,57,32,0.64,--,441,325,0.636,2021-07-14
LAD,56,35,0.615,2.0,476,334,0.657,2021-07-14
MIL,53,39,0.576,5.5,394,348,0.557,2021-07-14
SDP,53,40,0.57,6.0,428,353,0.587,2021-07-14
NYM,48,40,0.545,8.5,333,323,0.514,2021-07-14
CIN,48,42,0.533,9.5,435,427,0.508,2021-07-14
PHI,44,44,0.5,12.5,402,411,0.49,2021-07-14
ATL,44,45,0.494,13.0,420,401,0.521,2021-07-14
CHC,44,46,0.489,13.5,378,402,0.472,2021-07-14
STL,44,46,0.489,13.5,358,398,0.452,2021-07-14
WSN,42,47,0.472,15.0,372,387,0.482,2021-07-14
COL,40,51,0.44,18.0,390,438,0.447,2021-07-14
MIA,39,51,0.433,18.5,358,342,0.521,2021-07-14
PIT,34,56,0.378,23.5,319,441,0.356,2021-07-14
ARI,26,66,0.283,32.5,381,531,0.353,2021-07-14
CHW,54,35,0.607,--,456,339,0.632,2021-07-14
HOU,55,36,0.604,--,496,360,0.643,2021-07-14
BOS,55,36,0.604,--,464,407,0.56,2021-07-14
TBR,53,37,0.589,1.5,440,355,0.597,2021-07-14
OAK,52,40,0.565,3.5,408,376,0.537,2021-07-14
SEA,48,43,0.527,7.0,371,421,0.442,2021-07-14
NYY,46,43,0.517,8.0,370,369,0.501,2021-07-14
CLE,45,42,0.517,8.0,379,395,0.481,2021-07-14
TOR,45,42,0.517,8.0,444,372,0.58,2021-07-14
LAA,45,44,0.506,9.0,435,461,0.473,2021-07-14
MIN,39,50,0.438,15.0,421,478,0.442,2021-07-14
DET,40,51,0.44,15.0,378,457,0.414,2021-07-14
KCR,36,53,0.404,18.0,364,463,0.392,2021-07-14
TEX,35,55,0.389,19.5,369,428,0.433,2021-07-14
BAL,28,61,0.315,26.0,364,502,0.357,2021-07-14
SFG,57,32,0.64,--,441,325,0.636,2021-07-15
LAD,56,35,0.615,2.0,476,334,0.657,2021-07-15
MIL,53,39,0.576,5.5,394,348,0.557,2021-07-15
SDP,53,40,0.57,6.0,428,353,0.587,2021-07-15
NYM,48,40,0.545,8.5,333,323,0.514,2021-07-15
CIN,48,42,0.533,9.5,435,427,0.508,2021-07-15
PHI,44,44,0.5,12.5,402,411,0.49,2021-07-15
ATL,44,45,0.494,13.0,420,401,0.521,2021-07-15
CHC,44,46,0.489,13.5,378,402,0.472,2021-07-15
STL,44,46,0.489,13.5,358,398,0.452,2021-07-15
WSN,42,47,0.472,15.0,372,387,0.482,2021-07-15
COL,40,51,0.44,18.0,390,438,0.447,2021-07-15
MIA,39,51,0.433,18.5,358,342,0.521,2021-07-15
PIT,34,56,0.378,23.5,319,441,0.356,2021-07-15
ARI,26,66,0.283,32.5,381,531,0.353,2021-07-15
CHW,54,35,0.607,--,456,339,0.632,2021-07-15
HOU,55,36,0.604,--,496,360,0.643,2021-07-15
BOS,55,36,0.604,--,464,407,0.56,2021-07-15
TBR,53,37,0.589,1.5,440,355,0.597,2021-07-15
OAK,52,40,0.565,3.5,408,376,0.537,2021-07-15
SEA,48,43,0.527,7.0,371,421,0.442,2021-07-15
NYY,46,43,0.517,8.0,370,369,0.501,2021-07-15
CLE,45,42,0.517,8.0,379,395,0.481,2021-07-15
TOR,45,42,0.517,8.0,444,372,0.58,2021-07-15
LAA,45,44,0.506,9.0,435,461,0.473,2021-07-15
MIN,39,50,0.438,15.0,421,478,0.442,2021-07-15
DET,40,51,0.44,15.0,378,457,0.414,2021-07-15
KCR,36,53,0.404,18.0,364,463,0.392,2021-07-15
TEX,35,55,0.389,19.5,369,428,0.433,2021-07-15
BAL,28,61,0.315,26.0,364,502,0.357,2021-07-15
SFG,58,32,0.644,--,448,327,0.64,2021-07-16
LAD,57,35,0.62,2.0,486,338,0.66,2021-07-16
MIL,54,39,0.581,5.5,405,354,0.561,2021-07-16
SDP,54,40,0.574,6.0,452,361,0.601,2021-07-16
NYM,48,41,0.539,9.5,334,327,0.51,2021-07-16
CIN,48,43,0.527,10.5,441,438,0.503,2021-07-16
PHI,45,45,0.5,13.0,407,420,0.486,2021-07-16
CHC,45,46,0.495,13.5,383,403,0.477,2021-07-16
ATL,44,46,0.489,14.0,426,408,0.52,2021-07-16
STL,44,47,0.484,14.5,360,405,0.446,2021-07-16
WSN,42,48,0.467,16.0,380,411,0.464,2021-07-16
MIA,40,52,0.435,19.0,367,347,0.526,2021-07-16
COL,40,52,0.435,19.0,394,448,0.442,2021-07-16
PIT,35,56,0.385,23.5,323,442,0.36,2021-07-16
ARI,26,67,0.28,33.5,382,536,0.35,2021-07-16
HOU,56,36,0.609,--,503,361,0.647,2021-07-16
BOS,56,36,0.609,--,468,407,0.564,2021-07-16
CHW,54,36,0.6,1.0,457,346,0.625,2021-07-16
TBR,54,37,0.593,1.5,447,361,0.597,2021-07-16
OAK,53,40,0.57,3.5,413,380,0.538,2021-07-16
SEA,49,43,0.533,7.0,377,426,0.444,2021-07-16
TOR,46,42,0.523,8.0,454,374,0.588,2021-07-16
NYY,46,44,0.511,9.0,370,373,0.496,2021-07-16
CLE,45,43,0.511,9.0,383,400,0.48,2021-07-16
LAA,45,45,0.5,10.0,440,467,0.473,2021-07-16
MIN,39,50,0.438,15.5,421,478,0.442,2021-07-16
DET,40,51,0.44,15.5,378,457,0.414,2021-07-16
KCR,37,53,0.411,18.0,373,465,0.4,2021-07-16
TEX,35,56,0.385,20.5,371,438,0.425,2021-07-16
BAL,28,62,0.311,27.0,366,511,0.352,2021-07-16
SFG,58,33,0.637,--,449,330,0.637,2021-07-17
LAD,58,35,0.624,1.0,495,340,0.665,2021-07-17
MIL,55,39,0.585,4.5,412,358,0.564,2021-07-17
SDP,55,40,0.579,5.0,462,365,0.606,2021-07-17
NYM,48,42,0.533,9.5,341,336,0.507,2021-07-17
CIN,48,44,0.522,10.5,445,445,0.5,2021-07-17
PHI,46,45,0.505,12.0,411,422,0.488,2021-07-17
CHC,46,46,0.5,12.5,387,405,0.479,2021-07-17
ATL,45,46,0.495,13.0,435,408,0.529,2021-07-17
STL,45,47,0.489,13.5,363,406,0.449,2021-07-17
WSN,42,49,0.462,16.0,384,421,0.458,2021-07-17
MIA,40,53,0.43,19.0,369,351,0.523,2021-07-17
COL,40,53,0.43,19.0,396,457,0.435,2021-07-17
PIT,36,56,0.391,22.5,332,449,0.365,2021-07-17
ARI,26,68,0.277,33.5,384,540,0.349,2021-07-17
CHW,55,36,0.604,--,467,347,0.633,2021-07-17
HOU,56,37,0.602,--,504,371,0.637,2021-07-17
BOS,56,37,0.602,--,469,410,0.561,2021-07-17
TBR,54,38,0.587,1.5,447,370,0.586,2021-07-17
OAK,53,41,0.564,3.5,415,383,0.537,2021-07-17
SEA,49,44,0.527,7.0,381,435,0.44,2021-07-17
TOR,46,42,0.523,7.5,454,374,0.588,2021-07-17
NYY,47,44,0.516,8.0,373,374,0.499,2021-07-17
CLE,46,43,0.517,8.0,386,402,0.481,2021-07-17
LAA,46,45,0.505,9.0,449,471,0.478,2021-07-17
DET,42,51,0.452,14.0,384,461,0.417,2021-07-17
MIN,39,52,0.429,16.0,425,484,0.441,2021-07-17
KCR,37,54,0.407,18.0,377,473,0.398,2021-07-17
TEX,35,56,0.385,20.0,371,438,0.425,2021-07-17
BAL,29,62,0.319,26.0,374,515,0.358,2021-07-17
SFG,58,34,0.63,--,450,332,0.636,2021-07-18
LAD,58,36,0.617,1.0,500,346,0.662,2021-07-18
MIL,56,39,0.589,3.5,420,358,0.573,2021-07-18
SDP,55,41,0.573,5.0,469,373,0.603,2021-07-18
NYM,49,42,0.538,8.5,348,342,0.508,2021-07-18
CIN,48,45,0.516,10.5,445,453,0.492,2021-07-18
PHI,47,45,0.511,11.0,418,426,0.491,2021-07-18
CHC,46,47,0.495,12.5,391,411,0.477,2021-07-18
STL,46,47,0.495,12.5,365,407,0.45,2021-07-18
ATL,45,47,0.489,13.0,440,415,0.527,2021-07-18
WSN,43,49,0.467,15.0,392,428,0.46,2021-07-18
COL,41,53,0.436,18.0,402,462,0.437,2021-07-18
MIA,40,54,0.426,19.0,373,358,0.519,2021-07-18
PIT,36,57,0.387,22.5,338,456,0.366,2021-07-18
ARI,27,68,0.284,32.5,390,544,0.352,2021-07-18
CHW,56,36,0.609,--,471,347,0.636,2021-07-18
HOU,56,38,0.596,1.0,504,375,0.632,2021-07-18
BOS,56,38,0.596,1.0,470,419,0.552,2021-07-18
TBR,55,38,0.591,1.5,454,375,0.587,2021-07-18
OAK,53,42,0.558,4.5,417,387,0.534,2021-07-18
SEA,50,44,0.532,7.0,388,439,0.444,2021-07-18
TOR,48,42,0.533,7.0,469,374,0.602,2021-07-18
NYY,48,44,0.522,8.0,382,375,0.508,2021-07-18
CLE,47,43,0.522,8.0,390,404,0.484,2021-07-18
LAA,46,46,0.5,10.0,453,478,0.475,2021-07-18
DET,43,51,0.457,14.0,391,461,0.425,2021-07-18
MIN,39,53,0.424,17.0,425,491,0.434,2021-07-18
KCR,37,55,0.402,19.0,377,478,0.393,2021-07-18
TEX,35,58,0.376,21.5,371,453,0.41,2021-07-18
BAL,30,62,0.326,26.0,379,515,0.363,2021-07-18
SFG,59,34,0.634,--,457,334,0.64,2021-07-19
LAD,58,37,0.611,2.0,502,353,0.656,2021-07-19
MIL,56,39,0.589,4.0,420,358,0.573,2021-07-19
SDP,55,41,0.573,5.5,469,373,0.603,2021-07-19
NYM,50,42,0.543,8.5,363,353,0.513,2021-07-19
CIN,48,46,0.511,11.5,456,468,0.488,2021-07-19
PHI,47,45,0.511,11.5,418,426,0.491,2021-07-19
STL,47,47,0.5,12.5,373,410,0.457,2021-07-19
CHC,46,48,0.489,13.5,394,419,0.472,2021-07-19
ATL,45,47,0.489,13.5,440,415,0.527,2021-07-19
WSN,44,49,0.473,15.0,410,429,0.479,2021-07-19
COL,41,53,0.436,18.5,402,462,0.437,2021-07-19
MIA,40,55,0.421,20.0,374,376,0.498,2021-07-19
PIT,36,58,0.383,23.5,340,460,0.365,2021-07-19
ARI,28,68,0.292,32.5,394,546,0.355,2021-07-19
CHW,57,37,0.606,--,478,353,0.635,2021-07-19
HOU,57,38,0.6,0.5,508,378,0.632,2021-07-19
BOS,57,38,0.6,0.5,483,423,0.56,2021-07-19
TBR,55,39,0.585,2.0,455,381,0.58,2021-07-19
OAK,54,42,0.563,4.0,421,388,0.537,2021-07-19
SEA,50,44,0.532,7.0,388,439,0.444,2021-07-19
TOR,48,43,0.527,7.5,473,387,0.591,2021-07-19
NYY,48,44,0.522,8.0,382,375,0.508,2021-07-19
CLE,47,44,0.516,8.5,393,408,0.483,2021-07-19
LAA,46,47,0.495,10.5,454,482,0.473,2021-07-19
DET,44,51,0.463,13.5,405,461,0.441,2021-07-19
MIN,40,54,0.426,17.0,431,498,0.434,2021-07-19
KCR,37,55,0.402,19.0,377,478,0.393,2021-07-19
TEX,35,59,0.372,22.0,371,467,0.396,2021-07-19
BAL,31,62,0.333,25.5,385,516,0.369,2021-07-19
SFG,59,35,0.628,--,463,342,0.635,2021-07-20
LAD,59,37,0.615,1.0,510,359,0.655,2021-07-20
MIL,56,40,0.583,4.0,422,363,0.568,2021-07-20
SDP,55,42,0.567,5.5,470,375,0.602,2021-07-20
NYM,50,43,0.538,8.5,366,357,0.511,2021-07-20
CIN,49,46,0.516,10.5,460,471,0.489,2021-07-20
PHI,47,46,0.505,11.5,422,432,0.489,2021-07-20
CHC,47,48,0.495,12.5,401,425,0.473,2021-07-20
STL,47,48,0.495,12.5,379,417,0.456,2021-07-20
ATL,46,47,0.495,12.5,442,416,0.528,2021-07-20
WSN,45,49,0.479,14.0,416,432,0.483,2021-07-20
COL,41,54,0.432,18.5,406,468,0.435,2021-07-20
MIA,40,56,0.417,20.0,377,382,0.494,2021-07-20
PIT,36,59,0.379,23.5,346,471,0.363,2021-07-20
ARI,29,68,0.299,31.5,405,552,0.362,2021-07-20
CHW,58,37,0.611,--,487,358,0.637,2021-07-20
HOU,58,38,0.604,0.5,517,381,0.636,2021-07-20
BOS,57,38,0.6,1.0,483,423,0.56,2021-07-20
TBR,56,39,0.589,2.0,464,384,0.586,2021-07-20
OAK,55,42,0.567,4.0,427,388,0.544,2021-07-20
SEA,51,44,0.537,7.0,394,443,0.447,2021-07-20
NYY,49,44,0.527,8.0,388,379,0.511,2021-07-20
TOR,48,43,0.527,8.0,473,387,0.591,2021-07-20
CLE,47,45,0.511,9.5,396,417,0.476,2021-07-20
LAA,46,48,0.489,11.5,454,488,0.467,2021-07-20
DET,45,51,0.469,13.5,409,462,0.444,2021-07-20
MIN,40,55,0.421,18.0,436,507,0.431,2021-07-20
KCR,38,55,0.409,19.0,382,480,0.397,2021-07-20
TEX,35,60,0.368,23.0,372,471,0.394,2021-07-20
BAL,31,63,0.33,26.5,388,525,0.365,2021-07-20
SFG,60,35,0.632,--,467,344,0.636,2021-07-21
LAD,59,38,0.608,2.0,512,363,0.652,2021-07-21
SDP,57,42,0.576,5.0,479,382,0.602,2021-07-21
MIL,56,41,0.577,5.0,425,369,0.564,2021-07-21
NYM,51,43,0.543,8.5,373,357,0.52,2021-07-21
CIN,49,47,0.51,11.5,460,478,0.482,2021-07-21
PHI,47,47,0.5,12.5,427,438,0.488,2021-07-21
STL,48,48,0.5,12.5,382,419,0.458,2021-07-21
CHC,47,49,0.49,13.5,403,428,0.472,2021-07-21
ATL,46,49,0.484,14.0,449,425,0.525,2021-07-21
WSN,45,50,0.474,15.0,417,435,0.481,2021-07-21
COL,42,54,0.438,18.5,412,471,0.439,2021-07-21
MIA,41,56,0.423,20.0,380,383,0.496,2021-07-21
PIT,36,60,0.375,24.5,350,477,0.362,2021-07-21
ARI,30,68,0.306,31.5,411,556,0.365,2021-07-21
CHW,58,38,0.604,--,489,365,0.631,2021-07-21
BOS,58,38,0.604,--,490,427,0.563,2021-07-21
HOU,58,39,0.598,0.5,521,386,0.634,2021-07-21
TBR,57,39,0.594,1.0,469,388,0.586,2021-07-21
OAK,55,42,0.567,3.5,427,388,0.544,2021-07-21
NYY,50,44,0.532,7.0,394,384,0.512,2021-07-21
SEA,51,45,0.531,7.0,397,449,0.444,2021-07-21
TOR,48,44,0.522,8.0,477,394,0.587,2021-07-21
CLE,48,45,0.516,8.5,401,421,0.478,2021-07-21
LAA,46,48,0.489,11.0,454,488,0.467,2021-07-21
DET,46,51,0.474,12.5,413,464,0.447,2021-07-21
MIN,41,55,0.427,17.0,443,509,0.437,2021-07-21
KCR,39,55,0.415,18.0,388,483,0.401,2021-07-21
TEX,35,61,0.365,23.0,374,475,0.392,2021-07-21
BAL,31,64,0.326,26.5,392,530,0.365,2021-07-21
SFG,61,35,0.635,--,472,347,0.637,2021-07-22
LAD,59,39,0.602,3.0,515,368,0.649,2021-07-22
SDP,58,42,0.58,5.0,482,384,0.603,2021-07-22
MIL,56,41,0.577,5.5,425,369,0.564,2021-07-22
NYM,51,43,0.543,9.0,373,357,0.52,2021-07-22
CIN,49,47,0.51,12.0,460,478,0.482,2021-07-22
STL,49,48,0.505,12.5,385,421,0.459,2021-07-22
PHI,47,48,0.495,13.5,429,445,0.483,2021-07-22
ATL,47,49,0.49,14.0,456,427,0.53,2021-07-22
CHC,47,50,0.485,14.5,405,431,0.472,2021-07-22
WSN,45,50,0.474,15.5,417,435,0.481,2021-07-22
COL,42,54,0.438,19.0,412,471,0.439,2021-07-22
MIA,41,57,0.418,21.0,382,386,0.495,2021-07-22
PIT,36,60,0.375,25.0,350,477,0.362,2021-07-22
ARI,30,68,0.306,32.0,411,556,0.365,2021-07-22
BOS,59,38,0.608,--,495,431,0.563,2021-07-22
CHW,58,38,0.604,0.5,489,365,0.631,2021-07-22
HOU,58,39,0.598,1.0,521,386,0.634,2021-07-22
TBR,58,39,0.598,1.0,474,392,0.586,2021-07-22
OAK,56,42,0.571,3.5,431,389,0.547,2021-07-22
NYY,50,45,0.526,8.0,398,389,0.51,2021-07-22
SEA,51,46,0.526,8.0,398,453,0.441,2021-07-22
TOR,48,44,0.522,8.5,477,394,0.587,2021-07-22
CLE,48,46,0.511,9.5,405,426,0.477,2021-07-22
LAA,47,48,0.495,11.0,457,490,0.468,2021-07-22
DET,47,51,0.48,12.5,420,469,0.45,2021-07-22
MIN,41,56,0.423,18.0,445,512,0.436,2021-07-22
KCR,39,55,0.415,18.5,388,483,0.401,2021-07-22
TEX,35,62,0.361,24.0,379,482,0.392,2021-07-22
BAL,31,64,0.326,27.0,392,530,0.365,2021-07-22
SFG,61,36,0.629,--,476,353,0.633,2021-07-23
LAD,59,40,0.596,3.0,521,377,0.644,2021-07-23
SDP,59,42,0.584,4.0,487,386,0.605,2021-07-23
MIL,57,41,0.582,4.5,432,370,0.57,2021-07-23
NYM,52,43,0.547,8.0,376,357,0.524,2021-07-23
CIN,50,47,0.515,11.0,466,483,0.484,2021-07-23
PHI,48,48,0.5,12.5,434,446,0.488,2021-07-23
STL,49,49,0.5,12.5,390,427,0.459,2021-07-23
CHC,48,50,0.49,13.5,413,434,0.477,2021-07-23
ATL,47,50,0.485,14.0,457,432,0.526,2021-07-23
WSN,45,51,0.469,15.5,418,441,0.476,2021-07-23
COL,43,54,0.443,18.0,421,477,0.443,2021-07-23
MIA,41,58,0.414,21.0,384,391,0.492,2021-07-23
PIT,37,60,0.381,24.0,356,481,0.366,2021-07-23
ARI,30,69,0.303,32.0,414,564,0.362,2021-07-23
BOS,60,38,0.612,--,501,433,0.566,2021-07-23
HOU,59,39,0.602,1.0,528,389,0.636,2021-07-23
TBR,59,39,0.602,1.0,484,397,0.59,2021-07-23
CHW,58,39,0.598,1.5,490,372,0.623,2021-07-23
OAK,56,43,0.566,4.5,434,393,0.545,2021-07-23
SEA,52,46,0.531,8.0,402,456,0.443,2021-07-23
NYY,50,46,0.521,9.0,400,395,0.506,2021-07-23
TOR,48,45,0.516,9.5,477,397,0.583,2021-07-23
CLE,48,47,0.505,10.5,410,436,0.472,2021-07-23
LAA,47,49,0.49,12.0,461,495,0.467,2021-07-23
DET,47,52,0.475,13.5,423,474,0.448,2021-07-23
MIN,42,56,0.429,18.0,450,516,0.438,2021-07-23
KCR,40,55,0.421,18.5,393,486,0.404,2021-07-23
TEX,35,63,0.357,25.0,382,489,0.389,2021-07-23
BAL,32,64,0.333,27.0,398,531,0.371,2021-07-23
SFG,61,37,0.622,--,478,363,0.623,2021-07-24
LAD,60,40,0.6,2.0,522,377,0.645,2021-07-24
MIL,58,41,0.586,3.5,438,371,0.575,2021-07-24
SDP,59,43,0.578,4.0,489,389,0.603,2021-07-24
NYM,52,44,0.542,8.0,379,367,0.515,2021-07-24
CIN,51,47,0.52,10.0,471,486,0.486,2021-07-24
PHI,48,49,0.495,12.5,437,461,0.476,2021-07-24
STL,49,50,0.495,12.5,393,432,0.457,2021-07-24
ATL,48,50,0.49,13.0,472,435,0.537,2021-07-24
CHC,48,51,0.485,13.5,416,441,0.473,2021-07-24
WSN,45,52,0.464,15.5,421,446,0.474,2021-07-24
COL,43,55,0.439,18.0,421,478,0.442,2021-07-24
MIA,42,58,0.42,20.0,387,393,0.493,2021-07-24
PIT,38,60,0.388,23.0,366,483,0.376,2021-07-24
ARI,31,69,0.31,31.0,421,567,0.367,2021-07-24
HOU,60,39,0.606,--,532,390,0.638,2021-07-24
TBR,60,39,0.606,--,492,399,0.595,2021-07-24
BOS,60,39,0.606,--,504,437,0.565,2021-07-24
CHW,58,40,0.592,1.5,491,378,0.617,2021-07-24
OAK,56,44,0.56,4.5,438,398,0.544,2021-07-24
SEA,53,46,0.535,7.0,407,460,0.444,2021-07-24
NYY,51,46,0.526,8.0,404,398,0.507,2021-07-24
TOR,49,45,0.521,8.5,487,400,0.589,2021-07-24
CLE,48,48,0.5,10.5,412,444,0.466,2021-07-24
LAA,48,49,0.495,11.0,463,496,0.469,2021-07-24
DET,47,53,0.47,13.5,431,483,0.448,2021-07-24
KCR,41,55,0.427,17.5,402,494,0.407,2021-07-24
MIN,42,57,0.424,18.0,451,518,0.437,2021-07-24
TEX,35,64,0.354,25.0,383,493,0.387,2021-07-24
BAL,33,64,0.34,26.0,403,534,0.374,2021-07-24
SFG,62,37,0.626,--,484,364,0.627,2021-07-25
LAD,61,40,0.604,2.0,525,379,0.645,2021-07-25
MIL,58,42,0.58,4.5,439,374,0.573,2021-07-25
SDP,59,44,0.573,5.0,492,398,0.596,2021-07-25
NYM,53,44,0.546,8.0,384,371,0.516,2021-07-25
CIN,51,48,0.515,11.0,477,496,0.482,2021-07-25
PHI,49,49,0.5,12.5,439,462,0.477,2021-07-25
